# Equipment-bound core-card profiles. A profile projects one stable deck role
# onto a registered base card. Tags are both presented and attached to damage
# effects; damageSchool is presentation metadata, not an implicit mechanic.
# flavor is the card's lore (LORE.md §7); inside its quotes, \n is a line break.
id,role,baseCardId,displayName,icon,damageSchool,exposureBuildupPerHit,baseValue,ratingId,cap,flavor,mods,compatibility
unarmedAttack,attack,strike,Unarmed Strike,✊,physical,0,3,ar,,"Blow of the empty fist.\n\nThe last thing a Forsaken owns once the blade is broken and the cairn has kept it. No hamlet teaches it; it is learned the first winter a sword is traded for salt.\n\nA last resort, still yours.",,attack-v1
shieldAttack,attack,strike,Shield Strike,🛡,physical,0,2,ar,,"Rim-blow of the Bastion's shield line.\n\nClimbers learn it from salvaged Warden shields, once gilded with the branch. Most scrape the gold away. The corrupted Wardens of the Fell Courtyard hesitate at the sight of it.\n\nSome leave the gold.",,attack-v1
bladeAttack,attack,strike,Slashing Strike,⚔,physical,0,5,ar,,"Plain cut of Bastion steel.\n\nDrilled into the field levies and the sellswords hired beside them. Weald smiths never signed their blades, a custom the Chapel's scribes thought insolent and never ended.\n\nUnsigned steel can be carried without anyone asking whose it was.",,attack-v1
twinbladeAttack,attack,strike,Twinblade Flurry,⚔,physical,0,2,ar,,"Turning flurry of the Citadel's midwinter masque.\n\nCourt dancers spun double-ended blades before the throne. Stitched to their posts when the Court Flame died, some turn yet upon the frozen river, slower each winter.\n\nClimbers learn the step by watching. The dancers do not mind.",,attack-v1
daggerPierceAttack,attack,strike,Piercing Flurry,†,physical,0,3,ar,,"Two quick openings, as the Court's surgeons let a vein.\n\nTheir apprentices taught it on the docks once the Court stopped paying them. One teaches it yet, for cinders, beneath the ice below the Citadel.\n\nHe learned to open people. He taught himself to close them, and does not sell that part.",,attack-v1
bowPierceAttack,attack,strike,Piercing Shot,➶,physical,0,4,ar,,"Shot loosed from low cover.\n\nThe way weald poachers took the deer the Bastion kept for its tables. The Bastion hanged poachers, so the hamlets loosed upon the dawn peal, which hid the sound of the string.\n\nThe Bell Keeper rings the peal yet, though no dawn follows.",,attack-v1
staffMagicAttack,attack,strike,Staff Magic Strike,✦,magic,1,2,pr,,"Cold light struck from an apprentice's staff.\n\nCut green from weald lanternwood and tipped with starstone bought from the reach miners. The Starwatch taught that the light came from the stone.\n\nIt came more easily with the staff turned skyward. The apprentices were told not to notice.",,attack-v1
sceptreArcaneAttack,attack,strike,Arcane Strike,◈,arcane,1,3,pr,,"Working of a cantor's sceptre.\n\nChapel sceptres bore script copied from sealstone doors older than the Chapel. The cantors were taught its sounds, never its sense. The Chapel called the script sacred.\n\nAmong themselves, the cantors called it borrowed.",,attack-v1
unarmedGuard,guard,evasiveGuard,Evasive Guard,🌀,physical,0,1,dr,,"Empty-handed guard of the ice-fishers.\n\nWeight low, feet wide, upon lakes that crack all winter and hold but one at a time. The fishers of Sallow Lake say the ice has a temper, and may be reasoned with.\n\nThose who said otherwise are beneath it.",,guard-v1
weaponGuard,guard,defend,Weapon Guard,🛡,physical,0,2,dr,,"Haft-turn of the Bastion's field levies.\n\nSergeant Ilse drilled it upon the Muster Stair. On quiet nights her voice carries from the Bastion walls, calling the count.\n\nThe levies she drilled are corrupted now. When they hear her, they take their places.",,guard-v1
shieldGuard,guard,defend,Shield Defend,🛡,physical,0,3,dr,,"Shield set against the blow, as the Wardens taught.\n\nBastion shields bore strips of bell-bronze upon the rim, cast from metal left when the great bell was founded. The Wardens said the bronze rang the hour when struck.\n\nIt rings at other hours too.",,guard-v1
staffGuard,guard,defend,Arcane Ward,✦,magic,0,4,pr,,"Ward drawn through a staff, taught upon Starwatch Terrace.\n\nWhere the apprentices measured the new tower's draw across the water. The Astronomer said the ward was against the salt wind.\n\nIt leaned toward the Spire whenever it was drawn.",,guard-v1
sceptreGuard,guard,defend,Ritual Ward,◈,arcane,0,1,pr,,"Ward of the bier-watch.\n\nCantors held a sceptre crosswise over the dead through the night, before a name was written. The Chapel taught that it kept the name from wandering.\n\nWhere a name might wander, the rubric does not say.",,guard-v1
unarmedTechnique,technique,dodgeRoll,Dodge Roll,💨,physical,0,0,dr,,"Art of the empty hand.\n\nMostly the art of not being where the blow lands, taught by the ship-breakers upon hulls that shift with the tide. Gull-Bet calls it the first thing the Forsaken ever had that the marked envied.\n\nThat has been true for a very short while.",,technique-v1
weaponTechnique,technique,technique,Weapon Technique,✧,physical,0,0,ar,,"A weapon learned as it was last used.\n\nTake up what the corrupted drop, and let its habits show. A blade taken from a Warden cuts like a Warden. Orla of the hamlets below the Bastion bears a sword that dips toward the Fell Courtyard as she passes.\n\nShe no longer fights the pull.",,technique-v1
bowTechnique,technique,technique,Steady Aim,➶,physical,0,0,ar,,"The poacher's pause before loosing.\n\nBreath out, hand set, wait for the bell. Weald poachers learned patience from the Bastion's gamekeepers, who hanged the impatient. The gamekeepers walk the lanternwood yet, among the corrupted.\n\nThey count beneath their breath. The count never ends.",,technique-v1
staffTechnique,technique,technique,Staff Channel,✦,magic,0,0,pr,,"Breath set behind the focus.\n\nCounted to the rhythm of the star tables, recited until the rhythm lived in the breath. The Starwatch taught the tables were only numbers; the apprentices held the rhythm older.\n\nOn the night of the eclipse, the Astronomer read the last table aloud, and did not stop at its end.",,technique-v1
