# content/source/tagging.csv — who carries which tag (Ashen Spire)
#
# THE association table, and the ONLY home for a tag on anything. One row per
# (family, scope, objectId, tagId) — third normal form, so there is no cell
# holding a list and no second place a tag can be written.
#
# WHY ONE ROW PER TAG rather than a pipe-separated cell: a repeating group in a
# cell is a 1NF break, and it is what let the old inline `tags` columns exist as
# a second home. With one row per tag there is nothing to keep in sync — a tag
# is a row, and adding one is adding a row.
#
# family    a row in tagFamilies.csv. That row names the collection the objectId
#           must exist in, and (via familyNodes.csv) the subtrees it may carry.
# scope     the value of the family's `scopeField`, or empty when it has none.
#           Only `armour` uses it today: outfit ids repeat per class, so classId
#           is part of the parent key and must be part of this one.
# objectId  the id of the thing being tagged, in that family and scope.
# tagId     a node in nodes.csv, under a subtree the family is paired with.
#
# Display order is file order: the first row for an object is its first chip.
#
# The validator refuses, BY NAME: an unknown family, an unknown tag, a tag from a
# domain that family may not carry, an objectId no object has, a scope on a family
# with no scopeField (or a missing one on a family that has one), and a duplicate
# (family, scope, objectId, tagId).
#
# columns: family, scope, objectId, tagId
family,scope,objectId,tagId
# ---- class ---------------------------------------------------------------------
# A class's leaning, in the same vocabulary its cards use. Read by the
# composed starting deck (balance.equipment.startingDeck).
class,,reaver,blade
class,,reaver,guard
class,,reaver,blood
class,,starseer,starstone
class,,starseer,ranged
class,,rogue,guile
class,,rogue,flourish
class,,herald,ritual
class,,herald,oath
class,,reaver,favored
class,,reaver,item:blade
class,,starseer,favored
class,,starseer,item:magic-focus
class,,rogue,favored
class,,rogue,item:blade
class,,herald,favored
class,,herald,item:magic-focus
# ---- card ----------------------------------------------------------------------
# Card schools. What KIND of attack, which school a skill belongs to.
card,,ambush,guile
card,,ambush,blade
card,,rogueShiv,blade
card,,rogueShiv,flourish
card,,smokePellet,guile
card,,smokePellet,ash
card,,quickCut,blade
card,,quickCut,flourish
card,,feint,guile
card,,backstep,flourish
card,,backstep,guard
card,,twinPrick,blade
card,,twinPrick,flourish
card,,pocketSand,guile
card,,pocketSand,ash
card,,hamstringRogue,blade
card,,hamstringRogue,guile
card,,serratedShiv,blade
card,,serratedShiv,blood
card,,smokeVeil,guile
card,,smokeVeil,guard
card,,ricochet,pierce
card,,ricochet,ranged
card,,lowBlow,blade
card,,lowBlow,guile
card,,pilfer,guile
card,,vanish,guile
card,,vanish,ash
