# content/source/nodes.csv — THE tag tree (Ashen Spire)
#
# One tree for the whole vocabulary. Every tag any object carries — a card's
# school, a weapon's type, a creature's kind, what a relic confers, what a card
# IS — is a node here, and a node's place in the tree is its parentId and
# nothing else. Roots are what used to be called domains (tagDomains.csv) and
# the framework's family roots (content/framework/properties.json); both files
# are gone, this is their one home.
#
# THIRD NORMAL FORM, and the three things that means here:
#   parentId is the ONLY home of the parent. Some ids carry a dotted spelling
#     (lifecycle.recall.afterUse) from the framework era; that is an opaque key
#     kept so no reader had to change, not structure — the validator reads the
#     tree from parentId and never from the id.
#   domain is written on ROOTS ONLY. A child's domain is its root's, so writing
#     it on every row would repeat a fact the tree already states.
#   requires/excludes are not columns. They are rows in nodeRelations.csv.
#
# color/glyph are the chip the tag renders as; framework-era nodes have none and
# render no chip. visibility/priority are the framework's (INTERNAL nodes are
# never player-facing); a node with neither is one the framework never reads.
#
# aside (ROOTS ONLY): true for a root whose tags never join an object's tag
# LIST because they have a reader of their own — presentation is sprite
# selection (tagService.presentationIdsOf), classification is what the object
# IS (registries stamps it as `kindIds`, read by objectKinds). A mechanic asking
# "what tags does this carry" is asking about gameplay identity, and neither of
# those is that. Stated on the root, once, and read by every list reader.
#
# columns: id, parentId, label, color, glyph, visibility, priority, domain, aside, blurb
id,parentId,label,color,glyph,visibility,priority,domain,aside,blurb
card,,Card,,,,,,,"What a card IS — its school, form and feel. Carried by cards, by the classes that lean on them, and by the equipment that rewrites them."
creature,,Creature,,,,,,,"What a creature IS. Gates proc resistance, and the one domain the engine reads at runtime."
item,,Item,,,,,,,"What a piece of gear DOES beyond its numbers, and what a run pickup is."
run,,Run,,,,,,,"Run structure — what an event, an encounter or an unlock is about."
itemType,,Item type,,,,,,,"What a piece of equipment IS, as the Armoury and the smith name it. Distinct from the card domain: a Blade item type and a Blade card school are different facts about the same sword."
grantSource,,Grant source,,,,,,,"Where a starting card came from. The composed deck deals bound cards in this vocabulary's authored order, so adding a source is a row here rather than a code change. Nothing WEARS these — the `grant` family exists to declare them, the way `effect` declares which words a damage effect may carry."
presentation,,Combat presentation,,,INTERNAL,0,PRESENTATION,true,Sprite selection only; never damage or resistance identity.
attackSource,,Attack source,,,,,,,Source profile supplying an attack; separate from damage type.
delivery,,Delivery,,,,,,,How a direct attack reaches its targets.
damageType,,Damage type,,,,,,,Identity of a typed HP damage component.
technique,,Technique,,,,,,,Conditions for explicit technique bonuses.
theme,,Theme,,,,,,,Build synergies; tags alone grant no effects.
